Date,GOOG
2019-10-18 04:00:00,62.27450180053711
2019-10-21 04:00:00,62.307498931884766
2019-10-22 04:00:00,62.13999938964844
2019-10-23 04:00:00,62.95650100708008
2019-10-24 04:00:00,63.04949951171875
2019-10-25 04:00:00,63.256500244140625
2019-10-28 04:00:00,64.5
2019-10-29 04:00:00,63.13100051879883
2019-10-30 04:00:00,63.06449890136719
2019-10-31 04:00:00,63.00550079345703
2019-11-01 04:00:00,63.6870002746582
2019-11-04 05:00:00,64.56849670410156
2019-11-05 05:00:00,64.60150146484375
2019-11-06 05:00:00,64.58999633789062
2019-11-07 05:00:00,65.44300079345703
2019-11-08 05:00:00,65.56849670410156
2019-11-11 05:00:00,64.95950317382812
2019-11-12 05:00:00,64.94000244140625
2019-11-13 05:00:00,64.9000015258789
2019-11-14 05:00:00,65.572998046875
2019-11-15 05:00:00,66.74349975585938
2019-11-18 05:00:00,66.03500366210938
2019-11-19 05:00:00,65.77300262451172
2019-11-20 05:00:00,65.15249633789062
2019-11-21 05:00:00,65.06749725341797
2019-11-22 05:00:00,64.76699829101562
2019-11-25 05:00:00,65.33450317382812
2019-11-26 05:00:00,65.67749786376953
2019-11-27 05:00:00,65.64949798583984
2019-11-29 05:00:00,65.24800109863281
2019-12-02 05:00:00,64.49600219726562
2019-12-03 05:00:00,64.76399993896484
2019-12-04 05:00:00,66.0270004272461
2019-12-05 05:00:00,66.40650177001953
2019-12-06 05:00:00,67.03099822998047
2019-12-09 05:00:00,67.1780014038086
2019-12-10 05:00:00,67.23300170898438
